_source_@timestamp,_source_source_ip,_source_destination_ip,_source_source_port,symb:_source_destination_port,_source_event_duration,_source_network_bytes,_source_query,symb:_source_url_path,_source_url_port,_source_http_response_status_code,_source_http_request_method,symb:source_host_mapping,symb:destination_host_mapping
1055272124,10.0.2.15,192.168.247.56,35692.0,8080.0,480,250,GET /healthz,>healthz,8080.0,200.0,get,user,prometheus-kube
1055272124,10.0.2.15,192.168.247.56,35694.0,8080.0,518,1244,GET /,>,8080.0,200.0,get,user,prometheus-kube
1055272134,10.0.2.15,192.168.247.56,52380.0,8080.0,756,1244,GET /,>,8080.0,200.0,get,user,prometheus-kube
1055272134,10.0.2.15,192.168.247.56,52378.0,8080.0,629,250,GET /healthz,>healthz,8080.0,200.0,get,user,prometheus-kube
1055272154,10.0.2.15,192.168.247.56,34044.0,8080.0,271,1244,GET /,>,8080.0,200.0,get,user,prometheus-kube
1055272154,10.0.2.15,192.168.247.56,34042.0,8080.0,364,250,GET /healthz,>healthz,8080.0,200.0,get,user,prometheus-kube
1055272164,10.0.2.15,192.168.247.55,52102.0,3000.0,227,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
1055272164,10.0.2.15,192.168.247.56,58034.0,8080.0,181,250,GET /healthz,>healthz,8080.0,200.0,get,user,prometheus-kube
1055272164,10.0.2.15,192.168.247.56,58032.0,8080.0,170,1244,GET /,>,8080.0,200.0,get,user,prometheus-kube
1055272169,192.168.247.59,192.168.247.56,44894.0,8080.0,709,511150,GET /metrics,>metrics,8080.0,200.0,get,prometheus-kube,prometheus-kube
1055272172,10.0.2.15,192.168.247.59,48514.0,9090.0,953,277,GET /-/ready,>->ready,9090.0,200.0,get,user,prometheus-kube
1055272174,10.0.2.15,192.168.247.56,43110.0,8080.0,463,1244,GET /,>,8080.0,200.0,get,user,prometheus-kube
1055272174,10.0.2.15,192.168.247.55,37138.0,3000.0,670,442,GET /api/health,>api>health,3000.0,200.0,get,user,grafana-server
1055272174,10.0.2.15,192.168.247.56,43108.0,8080.0,724,250,GET /healthz,>healthz,8080.0,200.0,get,user,prometheus-kube
